;State;Energy Start;Energy Required
0;0;;
1;0;;
2;0;;
3;0;;
4;2;0,6;
5;2;;
6;2;;
7;2;;
8;2;;
9;2;;
10;2;;
11;2;;
12;2;;
13;2;;
14;2;;
15;2;;0,7
16;0;;
17;0;;
18;0;;
19;0;;
20;0;;
21;0;;
22;0;;
23;0;;
24;0;;
25;0;;
26;0;;
27;0;;
28;0;;
29;2;0,4;
30;2;;
31;2;;
32;2;;
33;2;;
34;2;;
35;2;;
36;2;;
37;2;;
38;2;;
39;2;;
40;2;;
41;2;;
42;2;;
43;2;;
44;2;;0.6
45;2;;
46;2;;
47;2;;
48;2;;
49;2;;
50;2;;
51;2;;
52;2;;
53;2;;
54;2;;
55;2;;
56;2;;
57;2;;
58;2;;
59;2;;
60;2;;
61;2;;
62;2;;
63;2;;
64;2;;
65;2;;
66;2;;
67;2;;
68;2;;
69;2;;
70;2;;
71;2;;0.8
72;0;;
73;0;;
74;0;;
75;0;;
76;0;;
77;0;;
78;0;;
79;0;;
80;0;;
81;0;;
82;0;;
83;0;;
84;0;;
85;0;;
86;0;;
87;0;;
88;0;;
89;0;;
90;0;;
91;0;;
92;0;;
93;0;;
94;0;;
95;0;;
96;0;;
97;0;;
98;0;;
99;0;;
100;0;;
101;0;;
102;0;;
103;0;;
104;0;;
105;0;;
106;0;;
107;0;;
108;0;;
109;0;;
110;0;;
111;0;;
112;0;;
113;0;;
114;0;;
115;0;;
116;0;;
117;0;;
118;0;;
119;0;;
120;0;;
121;0;;
122;0;;
123;0;;
124;0;;
125;3;0.5;
126;3;;
127;3;;
128;3;;
129;3;;
130;3;;
131;3;;
132;3;;
133;3;;
134;3;;
135;3;;
136;3;;
137;3;;
138;3;;
139;3;;
140;3;;
141;3;;
142;3;;
143;3;;
144;3;;
145;3;;
146;3;;
147;3;;
148;3;;
149;3;;
150;3;;
151;3;;
152;3;;
153;3;;
154;3;;
155;3;;
156;3;;
157;3;;
158;3;;
159;3;;
160;3;;
161;3;;
162;3;;
163;3;;
164;3;;
165;3;;
166;3;;
167;3;;
168;0;;
169;0;;
170;0;;
171;0;;
172;0;;
173;0;;
174;0;;
175;0;;
176;0;;
177;0;;
178;0;;
179;0;;
180;0;;
181;0;;
182;0;;
183;0;;
184;0;;
185;0;;
186;0;;
187;0;;
188;0;;
189;0;;
190;0;;
191;0;;
192;0;;
193;;;
194;;;
195;;;
196;;;
197;;;
198;;;
199;;;
200;;;
201;;;
202;;;
203;;;
204;;;
205;;;
206;;;
207;;;
208;;;
209;;;
210;;;
211;;;
212;;;
213;;;
214;;;
215;;;
216;;;
217;;;
218;;;
219;;;
220;;;
221;;;
222;;;
223;;;
224;;;
225;;;
226;;;
227;;;
228;;;
229;;;
230;;;
231;;;
232;;;
233;;;
234;;;
235;;;
236;;;
237;;;
238;;;
239;;;
240;;;
241;;;
242;;;
243;;;
244;;;
245;;;
246;;;
247;;;
248;;;
249;;;
250;;;
251;;;
252;;;
253;;;
254;;;
255;;;
256;;;
257;;;
258;;;
259;;;
260;;;
261;;;
262;;;
263;;;
264;;;
265;;;
266;;;
267;;;
268;;;
269;;;
270;;;
271;;;
272;;;
273;;;
274;;;
275;;;
276;;;
277;;;
278;;;
279;;;
280;;;
281;;;
282;;;
283;;;
284;;;
285;;;
286;;;
287;;;
288;;;
