;State;Energy Start;Energy Required
0;0;;
1;0;;
2;0;;
3;0;;
4;0;;
5;0;;
6;0;;
7;0;;
8;0;;
9;0;;
10;0;;
11;0;;
12;0;;
13;0;;
14;0;;
15;0;;
16;0;;
17;0;;
18;0;;
19;0;;
20;0;;
21;0;;
22;0;;
23;0;;
24;0;;
25;0;;
26;0;;
27;0;;
28;0;;
29;1;0.4;
30;1;;
31;1;;
32;1;;
33;1;;
34;1;;
35;1;;
36;1;;
37;1;;
38;1;;
39;1;;
40;1;;
41;1;;
42;1;;
43;1;;
44;1;;0.6
45;1;;
46;1;;
47;1;;
48;1;;
49;1;;
50;1;;
51;1;;
52;1;;
53;1;;
54;1;;
55;1;;
56;1;;
57;1;;
58;1;;
59;1;;
60;1;;
61;1;;
62;1;;
63;1;;
64;1;;
65;1;;
66;1;;
67;1;;
68;1;;
69;1;;
70;1;;
71;1;;0.8
72;0;;
73;0;;
74;0;;
75;0;;
76;0;;
77;0;;
78;0;;
79;0;;
80;0;;
81;0;;
82;0;;
83;0;;
84;0;;
85;0;;
86;0;;
87;0;;
88;0;;
89;0;;
90;0;;
91;0;;
92;0;;
93;0;;
94;0;;
95;0;;
96;0;;
97;0;;
98;0;;
99;0;;
100;0;;
101;0;;
102;0;;
103;0;;
104;0;;
105;0;;
106;0;;
107;0;;
108;0;;
109;0;;
110;0;;
111;0;;
112;0;;
113;0;;
114;0;;
115;0;;
116;0;;
117;0;;
118;0;;
119;0;;
120;0;;
121;0;;
122;0;;
123;0;;
124;0;;
125;1;0.6;
126;1;;
127;1;;
128;1;;
129;1;;
130;1;;
131;1;;
132;1;;
133;1;;
134;1;;
135;1;;
136;1;;
137;1;;
138;1;;
139;1;;
140;1;;
141;1;;
142;1;;
143;1;;
144;1;;
145;1;;
146;1;;
147;1;;
148;1;;
149;1;;
150;1;;
151;1;;
152;1;;
153;1;;
154;1;;
155;1;;
156;1;;
157;1;;
158;1;;
159;1;;
160;1;;
161;1;;
162;1;;
163;1;;
164;1;;
165;1;;
166;1;;
167;1;;1
168;0;;
169;0;;
170;0;;
171;0;;
172;0;;
173;0;;
174;0;;
175;0;;
176;0;;
177;0;;
178;0;;
179;0;;
180;0;;
181;0;;
182;0;;
183;0;;
184;0;;
185;0;;
186;0;;
187;0;;
188;0;;
189;0;;
190;0;;
191;0;;
192;0;;
193;;;
194;;;
195;;;
196;;;
197;;;
198;;;
199;;;
200;;;
201;;;
202;;;
203;;;
204;;;
205;;;
206;;;
207;;;
208;;;
209;;;
210;;;
211;;;
212;;;
213;;;
214;;;
215;;;
216;;;
217;;;
218;;;
219;;;
220;;;
221;;;
222;;;
223;;;
224;;;
225;;;
226;;;
227;;;
228;;;
229;;;
230;;;
231;;;
232;;;
233;;;
234;;;
235;;;
236;;;
237;;;
238;;;
239;;;
240;;;
241;;;
242;;;
243;;;
244;;;
245;;;
246;;;
247;;;
248;;;
249;;;
250;;;
251;;;
252;;;
253;;;
254;;;
255;;;
256;;;
257;;;
258;;;
259;;;
260;;;
261;;;
262;;;
263;;;
264;;;
265;;;
266;;;
267;;;
268;;;
269;;;
270;;;
271;;;
272;;;
273;;;
274;;;
275;;;
276;;;
277;;;
278;;;
279;;;
280;;;
281;;;
282;;;
283;;;
284;;;
285;;;
286;;;
287;;;
288;;;
